date,discharge
1/1/1989,5.86224
1/2/1989,5.8056
1/3/1989,5.8056
1/4/1989,4.92768
1/5/1989,5.50116
1/6/1989,5.90472
1/7/1989,5.28876
1/8/1989,5.14008
1/9/1989,4.80024
1/10/1989,6.06048
1/11/1989,5.89056
1/12/1989,5.8056
1/13/1989,5.74896
1/14/1989,5.8056
1/15/1989,5.8056
1/16/1989,5.8056
1/17/1989,5.77728
1/18/1989,5.8056
1/19/1989,5.77728
1/20/1989,5.69232
1/21/1989,5.77728
1/22/1989,5.8056
1/23/1989,5.8056
1/24/1989,5.74896
1/25/1989,5.69232
1/26/1989,5.69232
1/27/1989,6.14544
1/28/1989,6.06048
1/29/1989,5.9472
1/30/1989,5.86224
1/31/1989,5.86224
1/1/1990,6.06048
1/2/1990,6.03216
1/3/1990,6.20208
1/4/1990,6.14544
1/5/1990,6.0888
1/6/1990,5.9472
1/7/1990,5.91888
1/8/1990,5.86224
1/9/1990,5.83392
1/10/1990,5.86224
1/11/1990,5.83392
1/12/1990,5.83392
1/13/1990,5.86224
1/14/1990,5.83392
1/15/1990,5.97552
1/16/1990,6.06048
1/17/1990,6.17376
1/18/1990,5.16132
1/19/1990,5.07636
1/20/1990,4.779
1/21/1990,6.14544
1/22/1990,6.06048
1/23/1990,6.00384
1/24/1990,5.9472
1/25/1990,5.83392
1/26/1990,5.83392
1/27/1990,5.83392
1/28/1990,5.8056
1/29/1990,5.83392
1/30/1990,5.83392
1/31/1990,5.8056
1/1/1991,5.57904
1/2/1991,5.46576
1/3/1991,5.46576
1/4/1991,5.664
1/5/1991,22.9392
1/6/1991,28.2492
1/7/1991,20.83644
1/8/1991,15.16536
1/9/1991,11.7882
1/10/1991,9.7704
1/11/1991,8.30484
1/12/1991,7.434
1/13/1991,6.73308
1/14/1991,5.79852
1/15/1991,5.50116
1/16/1991,5.31
1/17/1991,5.22504
1/18/1991,5.07636
1/19/1991,4.94892
1/20/1991,4.8852
1/21/1991,4.80024
1/22/1991,4.75776
1/23/1991,4.73652
1/24/1991,6.20208
1/25/1991,6.17376
1/26/1991,6.0888
1/27/1991,6.06048
1/28/1991,6.03216
1/29/1991,6.00384
1/30/1991,5.89056
1/31/1991,5.89056
1/1/1992,5.37372
1/2/1992,5.28876
1/3/1992,5.05512
1/4/1992,5.22504
1/5/1992,5.60736
1/6/1992,22.5144
1/7/1992,28.0368
1/8/1992,18.9036
1/9/1992,13.57236
1/10/1992,10.98108
1/11/1992,9.09072
1/12/1992,8.45352
1/13/1992,7.8588
1/14/1992,7.24284
1/15/1992,6.4782
1/16/1992,6.01092
1/17/1992,5.69232
1/18/1992,5.45868
1/19/1992,5.28876
1/20/1992,5.2038
1/21/1992,5.16132
1/22/1992,5.05512
1/23/1992,4.97016
1/24/1992,4.94892
1/25/1992,4.9914
1/26/1992,5.28876
1/27/1992,5.96844
1/28/1992,6.81804
1/29/1992,7.03044
1/30/1992,6.83928
1/31/1992,6.39324
1/1/1993,35.8956
1/2/1993,26.3376
1/3/1993,25.2756
1/4/1993,18.96732
1/5/1993,14.03964
1/6/1993,11.76696
1/7/1993,286.74
1/8/1993,1346.616
1/9/1993,399.312
1/10/1993,111.7224
1/11/1993,114.2712
1/12/1993,91.7568
1/13/1993,44.8164
1/14/1993,62.2332
1/15/1993,116.6076
1/16/1993,81.3492
1/17/1993,592.596
1/18/1993,369.576
1/19/1993,333.468
1/20/1993,162.2736
1/21/1993,100.0404
1/22/1993,75.402
1/23/1993,71.7912
1/24/1993,47.5776
1/25/1993,31.4352
1/26/1993,24.6384
1/27/1993,21.04884
1/28/1993,19.24344
1/29/1993,17.75664
1/30/1993,17.4168
1/31/1993,39.9312
1/1/1994,4.9914
1/2/1994,4.97016
1/3/1994,4.9914
1/4/1994,4.97016
1/5/1994,4.97016
1/6/1994,4.92768
1/7/1994,4.94892
1/8/1994,4.8852
1/9/1994,4.8852
1/10/1994,4.8852
1/11/1994,4.86396
1/12/1994,4.84272
1/13/1994,4.82148
1/14/1994,6.20208
1/15/1994,4.6728
1/16/1994,4.75776
1/17/1994,4.6728
1/18/1994,4.69404
1/19/1994,4.71528
1/20/1994,4.69404
1/21/1994,6.11712
1/22/1994,6.17376
1/23/1994,6.11712
1/24/1994,6.0888
1/25/1994,4.71528
1/26/1994,4.86396
1/27/1994,4.94892
1/28/1994,4.90644
1/29/1994,4.90644
1/30/1994,4.82148
1/31/1994,4.82148
1/1/1995,4.86396
1/2/1995,4.75776
1/3/1995,4.71528
1/4/1995,4.779
1/5/1995,6.30828
1/6/1995,13.275
1/7/1995,10.13148
1/8/1995,9.19692
1/9/1995,7.434
1/10/1995,7.41276
1/11/1995,7.2216
1/12/1995,10.81116
1/13/1995,38.232
1/14/1995,32.2848
1/15/1995,21.6648
1/16/1995,16.43976
1/17/1995,13.275
1/18/1995,10.53504
1/19/1995,8.9208
1/20/1995,7.81632
1/21/1995,7.03044
1/22/1995,6.54192
1/23/1995,6.20208
1/24/1995,5.92596
1/25/1995,5.841
1/26/1995,8.45352
1/27/1995,18.24516
1/28/1995,17.86284
1/29/1995,14.37948
1/30/1995,11.97936
1/31/1995,9.79164
1/1/1996,6.20208
1/2/1996,6.17376
1/3/1996,6.0888
1/4/1996,6.17376
1/5/1996,4.69404
1/6/1996,4.69404
1/7/1996,6.17376
1/8/1996,6.0888
1/9/1996,6.20208
1/10/1996,6.17376
1/11/1996,6.0888
1/12/1996,6.0888
1/13/1996,5.97552
1/14/1996,5.91888
1/15/1996,5.9472
1/16/1996,5.9472
1/17/1996,5.91888
1/18/1996,5.89056
1/19/1996,6.03216
1/20/1996,6.20208
1/21/1996,6.17376
1/22/1996,4.69404
1/23/1996,6.17376
1/24/1996,6.14544
1/25/1996,6.11712
1/26/1996,6.11712
1/27/1996,5.91888
1/28/1996,5.89056
1/29/1996,6.03216
1/30/1996,6.00384
1/31/1996,6.03216
1/1/1997,5.32416
1/2/1997,5.2392
1/3/1997,5.21088
1/4/1997,5.40912
1/5/1997,5.72064
1/6/1997,5.55072
1/7/1997,5.43744
1/8/1997,5.46576
1/9/1997,5.3808
1/10/1997,5.35248
1/11/1997,5.3808
1/12/1997,5.46576
1/13/1997,5.7348
1/14/1997,7.73136
1/15/1997,6.96672
1/16/1997,5.43744
1/17/1997,4.86396
1/18/1997,6.14544
1/19/1997,5.91888
1/20/1997,5.89056
1/21/1997,5.8056
1/22/1997,5.72064
1/23/1997,5.72064
1/24/1997,5.69232
1/25/1997,5.49408
1/26/1997,5.67108
1/27/1997,59.0472
1/28/1997,43.1172
1/29/1997,26.1252
1/30/1997,23.1516
1/31/1997,20.05056
1/1/1998,5.39496
1/2/1998,5.37372
1/3/1998,5.50116
1/4/1998,5.60736
1/5/1998,8.0712
1/6/1998,10.70496
1/7/1998,8.43228
1/8/1998,6.66936
1/9/1998,5.9472
1/10/1998,5.7348
1/11/1998,5.71356
1/12/1998,5.86224
1/13/1998,5.67108
1/14/1998,5.45868
1/15/1998,5.31
1/16/1998,5.28876
1/17/1998,5.22504
1/18/1998,5.37372
1/19/1998,5.75604
1/20/1998,6.30828
1/21/1998,6.64812
1/22/1998,6.96672
1/23/1998,6.43572
1/24/1998,5.88348
1/25/1998,5.43744
1/26/1998,5.2038
1/27/1998,5.05512
1/28/1998,5.01264
1/29/1998,4.97016
1/30/1998,4.92768
1/31/1998,4.94892
1/1/1999,5.77728
1/2/1999,5.72064
1/3/1999,5.74896
1/4/1999,5.69232
1/5/1999,5.77728
1/6/1999,5.86224
1/7/1999,5.83392
1/8/1999,5.664
